제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
나는 GPT를 이렇게 키웠다,김기진,에릭스토리,2025년 08월,17000,15300,4,420,N/A,"“혹시 당신도 GPT한테 실망한 적 있나요?”GPT에게 무언가 부탁했는데, 기대와 다른 엉뚱한 답을 들은 적 있는가?“이거 분석해줘”라고 말했지만, 결과는 어딘가 어색하고 서운했던 그 느낌. 그 실망, 저자도 똑같...",https://www.yes24.com/product/goods/150698144
IT 트렌드 2025,김지현,크레타,2024년 10월,20000,18000,26,"7,254",N/A,"“AI의 작동 원리를 이해하고, 스킬까지 갖춘다면 2025년의 IT 흐름을 완벽히 이해한 것” 새로운 성장 가도를 달리는 AI의 기술과 산업을 본격 해부한다 *** 『트렌드 코리아』 김난도 교수, 한빛미디어 박태웅 의...",https://www.yes24.com/product/goods/133327806
챗GPT 제미나이 업무활용 마스터키트,백경석,에이아이마스터,2025년 01월,33000,29700,0,324,N/A,"챗GPT & 제미나이 업무 활용 마스터키트: AI 시대, 혁신의 문을 여는 필수 가이드『챗GPT 제미나이 업무활용 마스터 키트』는 챗GPT와 제미나이의 잠재력을 최대한 활용하여 AI 시대의 선두 주자가 되도록 안내하는 ...",https://www.yes24.com/product/goods/142371920
딥러닝 프로젝트를 위한 허깅페이스 실전 가이드,"윤대희, 김동화, 송종민, 진현두",위키북스,2024년 09월,32000,28800,1,"2,598",N/A,"허깅페이스를 활용한 최신 인공지능 기술의 핵심 개념과 실무 능력을 제공합니다! 허깅페이스는 현대 딥러닝 분야, 특히 자연어 처리와 컴퓨터 비전 영역에서 널리 사용되는 강력한 도구이다. 이 책은 허깅페이스를 ...",https://www.yes24.com/product/goods/133305266
생성형 AI 뉴버전 미드저니 마스터 클래스 기초+고급+응용(실전),이용태,책바세,2024년 09월,25000,22500,16,"2,370",N/A,"생성형 AI의 창작 예술 세계, 미드저니로 그 한계를 넘어서다!국내 최고 AI 전문가들이 추천한 『미드저니 마스터 클래스』이 책은 생성형 AI 도구인 미드저니(V1 모델부터 최신 V6.1 모델 그리고 Niji 6.1)를 중심...",https://www.yes24.com/product/goods/132619965
증강현실(AR) 및 가상현실(VR) 그리고 메타버스 디자인,나유미,지식과감성#,2025년 04월,19000,17100,4,216,N/A,"AR과 VR 기술은 다양한 산업에서 변화를 주도하며,혁신적인 경험과 새로운 가능성을 제공하고 있다.이 책에서는 AR과 VR 기술의 현재 발전 상황과 다양한 산업에서의 응용 사례를 살펴보았으며, 이 기술들이 앞으로 ...",https://www.yes24.com/product/goods/145236257
AI와 원자력,유용균,커뮤니케이션북스,2025년 08월,12000,12000,0,522,N/A,"기후 변화와 에너지 안보라는 거대한 파도 앞에, 안정적이고 깨끗한 에너지 공급원이 절실하다. 원자력, 어떻게 더 안전하고 경제적으로 만들 수 있을까? 해답을 AI에서 찾는다. 원자로의 이상 징후 예측부터 지능형...",https://www.yes24.com/product/goods/151138425
AI와 가상 정체성,윤은호,커뮤니케이션북스,2025년 09월,12000,12000,0,168,N/A,"메타버스가 사라진 자리에 가상 정체성이 떠오르고 있다. 버튜버와 가상 아이돌, AI 버튜버는 새로운 문화와 산업을 열며 인간 정체성의 경계를 흔든다. 가상 자아가 기술·사회·윤리의 미래에 던지는 질문을 성찰한...",https://www.yes24.com/product/goods/154117693
AI와 만난 스타트업,황정호,커뮤니케이션북스,2025년 09월,12000,12000,0,399,N/A,AI가 스타트업의 새로운 생존 전략이자 기회임을 보여 준다. 민첩성과 창의성으로 거대 기업과 다른 길을 개척하는 방법을 구체적 사례와 함께 제시한다. 인공지능총서. aiseries.oopy.io에서 필요한 인공지능 지식...,https://www.yes24.com/product/goods/153715254
디지털포렌식 인 케이스,천성덕,에스엠디자인,2024년 12월,45000,40500,0,"1,206",N/A,"국내 디지털 포렌식 분야의 선두주자, 천성덕 박사는 20년 넘게 이어온 수사·연구 경험과 폭넓은 학문적 역량을 두루 갖춘 전문가이다. 정보보호학, 법학, 과학수사, 공학을 아우르는 폭넓은 학위 이력은 디지털 증...",https://www.yes24.com/product/goods/140411238
코파일럿+엑셀 업무자동화 정석,권현욱,디지털북스,2024년 08월,22000,19800,4,"1,116",N/A,"모든 오피스 직장인을 위한, 코파일럿을 활용한 업무 자동화의 모든 것!“코파일럿 AI 비서로 퇴근 시간을 앞당기자!”마이크로소프트의 오피스와 엑셀은 직장인에게 필수적인 도구이며, 엑셀의 함수, 서식, VBA, 매...",https://www.yes24.com/product/goods/129445293
