제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
"데이터를 엮는 사람들, 데이터 과학자",권정민,비제이퍼블릭(BJ퍼블릭),2023년 01월,16500,14850,6,102,N/A,데이터 과학자가 ‘직접’ 말하는 데이터 과학자이제는 모든 분야에서 빅데이터를 활용할 정도로 빅데이터의 중요성이 높아졌다. 그만큼 데이터 분석 업계에 대한 관심도 많아지고 데이터 과학자가 되기 위해 준비하...,https://www.yes24.com/product/goods/116615853
"인공지능, 언플러그드를 만나다 2",홍지연,영진닷컴,2022년 05월,15000,13500,11,48,N/A,"인공지능 교육이 걱정된다면 놀이로 쉽게 배우는 『인공지능, 언플러그드를 만나다 2』로 시작하자!AI, 빅데이터, IoT 등 4차 산업혁명 시대의 최첨단 기술 발전은 우리의 일상생활은 물론 사회, 정치, 문화 등 모든...",https://www.yes24.com/product/goods/109337585
머신러닝 실무 프로젝트,"아리가 미치아키, 나카야마 신타, 니시바야시 다카시 /김모세 역",한빛미디어,2022년 03월,24000,21600,13,114,N/A,"어디서든 환영받는 ‘실무형 머신러닝’ 비법온라인 강의, 책, 대학 연구만으로는 실제 비즈니스에 머신러닝을 어떻게 적용할 것인지, 어떤 경우에 머신러닝 기법과 데이터 분석 방법을 적용해야 하는지 알기 어렵다...",https://www.yes24.com/product/goods/107978117
교육을 위한 메타버스 탐구생활,"조안나, 조재범, 배준호, 이석, 최동영  외 1명
                                        
정보 더 보기/감추기



조안나
조재범
배준호
이석
최동영
손용식",지노,2022년 03월,28000,25200,10,48,N/A,"시중에 이미 많은 메타버스 관련 책들이 출간되었다. 하지만 메타버스를 교육적 관점에서 풀이하고, 활용하고자 하는 책은 거의 없다. 『교육을 위한 메타버스 탐구생활』은 메타버스를 교육적으로 활용해보고 싶은 ...",https://www.yes24.com/product/goods/107847926
비전공자의 인공지능(AI) 입문,"김정환, 박노일",홍릉,2022년 01월,17000,17000,0,48,N/A,"이 책은 인공지능(AI)에 입문하려는 비전공자의 길안내서이다. 난이도는 인문사회계열의 전공자가 처음으로 AI 지식을 체계적으로 이해하고 구현할 수 있는 입문서 수준을 유지하고 있다. 기초통계와 인공신경망, CN...",https://www.yes24.com/product/goods/107447354
실전! 파이토치 딥러닝 프로젝트,아쉬쉬 란잔 자 /김정인 역,위키북스,2022년 02월,32000,28800,0,114,N/A,"파이토치를 활용한 실제 사례를 통해 딥러닝 고급 기법과 알고리즘을 마스터한다!파이토치(PyTorch)를 활용하면 누구나, 그 어느 때보다 쉽게 딥러닝 애플리케이션을 구축해 AI 혁명에 동참할 수 있다. 이 책은 여러...",https://www.yes24.com/product/goods/106549364
"인공지능, 엔트리 수학을 만나다",홍지연,영진닷컴,2021년 12월,15000,13500,12,96,N/A,"인공지능 교육이 걱정된다면 수학 교과로 쉽게 배우는 『인공지능, 엔트리 수학을 만나다』로 시작하세요!AI, 빅데이터, IoT 등 4차 산업혁명 시대의 최첨단 기술 발전은 우리의 일상생활은 물론 사회, 정치, 문화 ...",https://www.yes24.com/product/goods/105488383
코딩스쿨 엔트리로 시작하는 데이터 과학,"정인기, 임지원, 홍지연",교학사,2021년 12월,9000,8100,0,96,N/A,- 초등 코딩 교육 전문가가 직접 만든 코딩 워크북!- 엔트리로 데이터를 분석하고 처리하는 과정으로 인공지능의 학습원리를 알 수 있다!- 코딩을 몰라도 부모님과 아이가 함께 코딩을 시작할 수 있는 교재!코딩스쿨...,https://www.yes24.com/product/goods/105467968
인공지능 비즈니스,정종기,형설미래교육원,2021년 09월,38000,38000,0,60,N/A,"지금은 인공지능을 기반으로 한 글로벌 경쟁시대이다. 인공지능은 사업 전략, 조직 문화, 인재 발굴 등 기업경영의 모든 영역에서 패러다임을 바꿔놓을 것이기 때문에 인공지능이 변화시킬 기업경영의 영역을 종합적...",https://www.yes24.com/product/goods/103614466
딥러닝 개념과 활용,김의중,미리어드스페이스,2021년 04월,35000,33250,0,90,N/A,이 책은 저자가 다양한 딥러닝 프로젝트를 수행하면서 겪은 경험을 바탕으로 실무자가 꼭 알아야할 딥러닝 핵심개념들을 구성요소별로 나누어 설명하고 있다. 이 책에서 설명된 딥러닝의 각 구성요소를 이해하고 나...,https://www.yes24.com/product/goods/100527200
이보다 더 쉬울 수 없는 자바 머신러닝 with Weka,자바라머신러닝,비제이퍼블릭(BJ퍼블릭),2021년 01월,31000,27900,4,114,N/A,"웹을 넘어 모바일로 전환될 때 Java가 큰 역할을 했듯이, 데이터 분석에도 Java는 큰 역할을 할 것으로 예상됩니다더 이상 머신러닝을 무시하거나 무서워할 필요가 없습니다. 이제는 머신러닝을 어디에 적용할지를 ...",https://www.yes24.com/product/goods/97048613
건축을 위한 인공지능,이진모,우리북,2020년 11월,16500,15670,0,90,N/A,『건축을 위한 인공지능』은 '인공지능이 건축가나 디자이너를 대체하는 사회가 올 것이다' 라는 조금은 어리석은 큰 명제에 집중하지 않는다. 이러한 명제들을 들추어보면 사실 지레 겁먹은 사회나 직능인들의 기우...,https://www.yes24.com/product/goods/95551429
대화형 컴퓨팅,이중식,커뮤니케이션북스,2024년 11월,12000,12000,0,102,N/A,"대화형 컴퓨팅 시대, 사람들은 이제 컴퓨터와 자연어로 소통한다. 텍스트 기반 인터페이스에서 대화형 인터페이스(CUI)로 진화한 과정과 AI가 대화 상대가 된 배경을 설명하며, 다양한 대화형 AI 서비스 사례와 기획...",https://www.yes24.com/product/goods/136470204
AI와 영상 제작,"유세문, 정석현",커뮤니케이션북스,2024년 08월,12000,12000,4,114,N/A,"AI가 영상 제작에 가져올 혁신과 도전을 탐구한다. 시나리오 작성부터 촬영, 편집까지 작업 효율을 극대화하며, 저비용 고품질 제작을 가능케 하는 AI 기술을 소개한다. 한편 AI가 인력을 대체할 우려 역시 제기한다...",https://www.yes24.com/product/goods/130139117
인공지능의 어두운 그림자,김창익,홍릉,2024년 07월,21000,21000,0,108,N/A,"최근 AI가 사회의 대부분의 영역에서 놀라운 신기술로 등장하고 있으며, 모든 강력한 기술과 마찬가지로 사회의 지속 발전을 위하여 AI의 잠재력을 신중하게 고민하고 활용해야 하는 시점이다. 그러나 AI가 가져다줄...",https://www.yes24.com/product/goods/130027790
AI 콘텐츠 트렌드,김민지,커뮤니케이션북스,2025년 04월,12000,12000,0,102,N/A,"AI 콘텐츠는 다양한 영역을 아우르는 커다란 캔버스에서 펼쳐지는 새로운 그림과 같다. AI 콘텐츠의 현재와 미래를 가늠하기 위해서는 열린 시선이 필요하다. 혁신 기술과 산업 동향을 기민하게 파악하는 감각, 그리...",https://www.yes24.com/product/goods/145394077
글로벌 AI 거버넌스와 한국,김명신,커뮤니케이션북스,2025년 04월,12000,12000,1,120,N/A,"AI는 이제 세계 질서의 판을 바꾸고 있다. 이 책은 AI 기술이 국제 정치, 경제, 안보, 윤리 등 전 분야에 걸쳐 어떤 영향을 미치고 있는지 통합적으로 분석한다. 기술 패권 경쟁 속에서 미국, 중국, EU, 한국 등 주...",https://www.yes24.com/product/goods/145217023
AI와 반도체,최종수,커뮤니케이션북스,2025년 04월,12000,12000,0,90,N/A,"AI 시대를 이끈 반도체 기술의 진화와 역할을 조명한다. GPU·TPU·NPU 등 AI 특화 칩과 뉴로모픽, 양자 컴퓨팅까지 AI와 반도체의 공진화를 소개한다.",https://www.yes24.com/product/goods/144650380
생성형 AI와 미디어 산업 비즈니스 모델,백상기,커뮤니케이션북스,2025년 04월,12000,12000,0,102,N/A,"음악, 게임, 영상, 웹툰 등 미디어 산업 전반에 미치는 AI의 영향과 가능성을 조망하고, 저작권 등 새로운 과제와 비즈니스 모델을 함께 탐색한다. 생성형 AI 시대 콘텐츠 산업의 미래를 고민하는 이들에게 필요한 ...",https://www.yes24.com/product/goods/144545496
AI 사고철학,"이준헌, 조민호",더로드,2025년 03월,20000,18000,1,102,N/A,"『AI 사고철학』은 인공지능, 특히 Chat GPT와 같은 대형언어모델(LLM)이 데이터를 학습하는 원리와, 인간의 학습 과정을 비교하여 부모와 교육자들에게 새로운 교육 패러다임을 제시하는 책이다. LLM의 학습 프로세...",https://www.yes24.com/product/goods/143666426
AI와 대학의 변화,김자미,커뮤니케이션북스,2025년 03월,12000,12000,0,90,N/A,"AI와 대학, 변화의 길목에서AI는 대학 교육과 학문 연구, 직업 세계까지 변화시키고 있다. 적응형 학습, AI 기반 콘텐츠 제작, 데이터 분석을 활용한 교육 혁신이 확대되며, AI와 다양한 학문의 융합도 가속화되고 ...",https://www.yes24.com/product/goods/143646186
인공지능의 몸들,심귀연,커뮤니케이션북스,2025년 02월,12000,12000,0,102,N/A,"AI를 인간의 하위 개념이 아닌 새로운 타자로 바라보는 관점을 제시한다. 노동, 윤리, 자율성, 인간성 등의 개념을 통해 인간 중심적 사고를 비판하며, AI와 인간이 상호 존중하며 공존할 가능성을 탐색한다. 기술적...",https://www.yes24.com/product/goods/143046524
"AI, 발명과 특허",차경애,커뮤니케이션북스,2025년 02월,12000,12000,0,84,N/A,"이 책은 AI 기술과 특허법의 관계를 다루며, AI가 발명자로 인정될 수 있는지에 대한 법적, 윤리적 논의를 제기한다. AI 발명에 대한 법적 보호와 기여도 평가, 권리 귀속 문제를 다루며, 기술 혁신과 법의 조화를 ...",https://www.yes24.com/product/goods/142968342
인공지능과 데이터 분석을 위한 오렌지,김계수,한경사,2024년 04월,35000,35000,0,198,N/A,N/A,https://www.yes24.com/product/goods/126400330
사물인터넷(IoT) 보안 실무 (흑백판),김동원,BOOKK(부크크),2024년 03월,27300,27300,0,78,N/A,현재 시중에는 비슷한 형식을 갖추고 출간되어 있는 많은 하드웨어 또는 아두이노 책들이 많이 출판되어 있다. 하지만 보안을 주제로 하드웨어를 활용하는 책들은 찾아보기 어렵다.　필자가 몇 년간 아두이노와 다양...,https://www.yes24.com/product/goods/126011614
중소상공인을 위한 생성형 AI 챗GPT 홍보마케팅,"최재용, 강성희, 김정인, 김태연, 김현아  외 7명
                                        
정보 더 보기/감추기



최재용
강성희
김정인
김태연
김현아
이도혜
이애경
이화선
정옥선
최재향
황인정
김진선",미디어북,2024년 03월,18000,18000,0,102,N/A,"『중소상공인을 위한 생성형 AI 챗GPT 홍보마케팅』은 AI 기술의 기본 개념부터 시작해, 챗GPT와 같은 도구를 활용한 소셜 미디어 마케팅, 데이터 분석, 고객 경험 설계에 이르기까지 폭넓은 주제를 다루고 있다. 특...",https://www.yes24.com/product/goods/125649190
AutoML 인 액션,"칭취안 송, 하이펑 진, 시아 후 /박찬성 역",한빛미디어,2023년 10월,34000,30600,3,114,N/A,"- 머신러닝의 새로운 시대를 여는 AutoML- 머신러닝 한계를 넘어, AutoML로 정확하고 빠른 모델을 만들어보자- AutoML의 핵심을 담은 AutoKeras 창시자의 집필서- ML 전문가의 비밀 노트: ML 핵심 개념부터 ML 자동...",https://www.yes24.com/product/goods/122560705
인간이 지워진다,"김덕진, 송태민, 우희종, 이상호, 류덕민",메디치미디어,2023년 09월,15000,13500,1,78,N/A,"이제 AI는 인간의 모든 영역을 대체하기 시작했다2023년 7월, 할리우드가 멈췄다. 배우와 작가 조합은 방송과 창작에서의 AI 기술 활용을 제한하는 시위를 벌이며 지금까지 파업을 지속하고 있다. [골드만삭스]는 생...",https://www.yes24.com/product/goods/122337876
인공지능 교과서 1,천위쿤 편/사이언스 주니어 인공지능 연구회 역/AI PLUS 피지컬컴퓨팅교사연구회 감수 감수,광문각,2020년 07월,16000,16000,0,111,N/A,『인공지능 교과서 1』은 중국 최고의 인공지능 플랫폼 기업 센스타임과 교육 전문가 및 중등학교의 우수한 교사들이 공동으로 개발하였다. 인공지능을 배우고자 하는 학생들이면 한 번쯤은 인공지능에 대한 과학적 ...,https://www.yes24.com/product/goods/91065597
딥러닝 머신러닝을 위한 파이썬 넘파이,"문용준, 문성혁",잇플ITPLE,2020년 06월,35000,31500,19,207,N/A,"넘파이 모듈은 4차 산업혁명에서 매우 중요한 위치를 차지하는 인공지능의 기초이다. 『딥러닝 머신러닝을 위한 파이썬 넘파이』는 넘파이 모듈의 배열 개념을 이해하고, 배열 내의 원소를 계산하는 선형대수 처리 ...",https://www.yes24.com/product/goods/90496469
파이썬과 NumPy로 배우는 선형대수,이정주,비제이퍼블릭(BJ퍼블릭),2019년 09월,26000,23400,6,90,N/A,"프로그래밍에서 점점 더 중요해지는 선형대수,이제 파이썬과 NumPy로 쉽고 재미있게 이해한다!파이썬은 문법이 단순하여 배우는 데 걸리는 시간이 다른 언어에 비해 적게 들며 직관적이라 코드를 읽고 이해하기 쉽다...",https://www.yes24.com/product/goods/78896144
미래의 핵심 기술,미츠무라 나오키 /이영란 역,정보문화사,2019년 08월,18000,16200,1,102,N/A,"AI, IoT, 데이터 과학, 가상 통화의 배경에 있는 IT를 발전시킬 핵심 기술 5가지AI, IoT, 가상 통화 등 다양한 혁신적인 기술이 등장했다. 하지만 이것들은 그 배경에 있는 핵심 기술을 응용한 예일 뿐이다. 『미래...",https://www.yes24.com/product/goods/77200798
골빈해커의 3분 딥러닝,김진중,한빛미디어,2017년 09월,22000,19800,19,78,N/A,"텐서플로 코드로 맛보는 딥러닝 핵심 개념! 이 책은 신경망 기초부터 CNN, Autoencoder, GAN, RNN, DQN까지 딥러닝의 가장 기본이 되는 모델들을 직접 구현하며 몸으로 익히도록 구성했습니다. 이론을 깊이 파헤치기...",https://www.yes24.com/product/goods/49853812
딥시크,이상우,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"중국의 AI 딥시크는 오픈소스 전략과 가성비로 세계를 놀라게 하며 ‘딥시크 모먼트’를 만들어 냈다. 이 책은 그 충격을 기술 경쟁을 넘어 중국의 법과 정책, 의법치국 맥락에서 분석하고, 한국이 AI 강국으로 도약...",https://www.yes24.com/product/goods/154920596
AI 휴머노이드 로봇,손연성,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,"인공지능과 로봇 공학이 융합된 인간형 로봇의 기술, 사회적 의미, 미래 전망을 다룬다. 돌봄과 산업 현장, 국가 전략까지 포괄하며, 다가올 휴머노이드 시대를 준비할 통찰을 제공한다. 인공지능총서. aiseries.oop...",https://www.yes24.com/product/goods/154845233
AI 범죄와 자기 방어,안상선,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,"AI 기반 피싱, 딥페이크, 자금 세탁 등 진화하는 범죄의 실체를 파헤친다. 범죄자의 계산법을 분석하고 개인 맞춤형 방어 전략을 제시하며, 사회적 대응까지 아우르는 실천적 지침서다.인공지능총서. aiseries.oopy....",https://www.yes24.com/product/goods/154845224
AI와 신화의 만남,김진영,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,"AI가 불러온 변화와 불안을 신화 속에서 해석한다. 알파고에서 초AI까지 이어지는 흐름을 신화적 상상력으로 풀어내며, 인간과 기술의 공존을 위한 통찰을 제시하는 책이다. 인공지능총서. aiseries.oopy.io에서 필...",https://www.yes24.com/product/goods/154756629
AI와 프라이버시 리스크,김은수,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,이 책은 AI의 프라이버시 문제를 단순 법규 준수 차원이 아니라 리스크 관리의 핵심으로 다룬다. 프라이버시가 AI 제품의 경쟁력을 좌우하는 요소임을 밝히며 전문가에게 실질적 해법을 제시한다. 인공지능총서. ais...,https://www.yes24.com/product/goods/154746418
AI와 오픈소스의 정치권력,김윤명,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"AI와 오픈소스를 둘러싼 기술 정치경제적 갈등을 조명하며 기술 민주주의라는 오래된 이상이 AI 시대에 어떻게 재구성되고 왜곡되는지 분석한다. ‘기술은 누구의 것인가’라는 질문에 답하기 위해, 기업 중심의 ‘...",https://www.yes24.com/product/goods/154717319
AI와 데이터,정용찬,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"인공지능과 데이터의 관계를 10가지 주제로 풀어낸다. 학습 데이터의 품질, 합성 데이터, 보안 문제, 국가 전략까지 폭넓게 다뤄 AI 발전의 핵심 자원으로서 데이터의 의미를 밝힌다. 인공지능총서. aiseries.oopy.i...",https://www.yes24.com/product/goods/154636119
AI 기업 경영,권영우,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"경영자가 당면한 문제를 해결하고 성과를 높이는 AI 활용 전략을 담았다. 생성형 AI의 종류와 사례, 실행 절차를 제시해 매출 증대와 비용 절감을 지원한다. 변화의 시대, 기업 생존을 위한 필독서다. 인공지능총서....",https://www.yes24.com/product/goods/154596632
AI와 미술 교육,손지현,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"AI는 미술 창작과 감상에 새로운 가능성을 열고 있다. 교육 현장에서 AI 리터러시, 창작 도구 활용, 감상과 융합 교육, 미술 치료 등 다양한 적용 사례를 제시하며, 교사와 학생이 함께 창의성과 비판적 시각을 확장...",https://www.yes24.com/product/goods/154254873
AI와 자연 언어,황순희,커뮤니케이션북스,2025년 02월,12000,12000,0,42,N/A,"최근 딥러닝 기반 AI는 자연어 처리 분야에서 큰 발전을 이루었으며, 챗GPT와 같은 기술이 인간 언어의 이해와 수행 능력을 강화하고 있다. AI는 음성 인식, 기계 번역 등 실생활에 적용되며, 언어의 복잡성을 학습...",https://www.yes24.com/product/goods/142806204
구글 AI Gemini 그림 초등왕,코딩 코치스,BOOKK(부크크),2025년 07월,15800,15800,0,66,N/A,“AI 전 영역에서 ‘그림 그리기’는 우리 아이들이 가장 빠르게 프로 수준의 결과물을 체험하고 성취감을 느낄 수 있는 유일한 부문입니다!”‘구글 AI Gemini 그림 초등왕 :그림 그리는 우리 아이를 위한 AI 안내...,https://www.yes24.com/product/goods/149243919
AI 자율주행차의 리걸 이슈,황창근,커뮤니케이션북스,2025년 07월,12000,12000,0,42,N/A,"자율주행차는 이미 현실이지만, 법은 여전히 인간 운전자 중심이다. AI 운전자 시대를 대비해 형사책임, 보험, 윤리, 데이터 등 주요 리걸 이슈를 총망라하며, 기술과 법의 균형점을 모색한다. 인공지능총서. aiseri...",https://www.yes24.com/product/goods/149113673
AI와 비즈니스 프레임워크 혁신,황충연,커뮤니케이션북스,2025년 07월,12000,12000,0,42,N/A,"전략은 질문에서 시작된다. AI와 10개 프레임워크의 결합을 통해 전략 수립을 빠르고 깊이 있게 만들 수 있도록 돕는다. 도구는 AI지만, 판단은 결국 사람의 몫이다. 인공지능총서. aiseries.oopy.io에서 필요한 인...",https://www.yes24.com/product/goods/148865199
"공간 웹 : 웹 3.0으로 연결된 인간, 기계 그리고 AI로 세상은 어떻게 바뀌는가","가브리엘 르네, 댄 메이프스 /심주연 역",에이콘출판사,2021년 02월,20000,19000,0,24,N/A,"웹 3.0 시대에는 디지털 영역, 물리적 영역, 생물학적 영역이 하나로 합쳐진다. 이 융합은 우리의 삶, 비즈니스, 사회 그리고 세계에 어떠한 변화를 가져올 것인가?가브리엘 르네와 댄 메이프스는 기술이 어떻게 스...",https://www.yes24.com/product/goods/97572388
AI와 산업의 전략적 사고,"류태준, 남석현, 박혜민, 서원민, 윤혜련",커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"AI는 이미 뛰어난 기술이지만, 산업을 바꾸는 것은 전략이다. 언캐니 밸리의 불안을 넘어, AI를 어떤 문제 해결에 고용할 것인가를 묻는다. 에디슨과 잡스의 사례, 캐즘 이론을 통해 실무자가 현장에서 AI를 활용할 ...",https://www.yes24.com/product/goods/153065108
AI와 홀로그램,"이승현, 황이환",커뮤니케이션북스,2025년 09월,12000,12000,0,24,N/A,"홀로그램은 AI와 만나 단순한 시각 장치를 넘어 실시간 인터랙션과 창작의 장이 된다. 교육, 공연, 의료, 마케팅 등 다양한 분야에서 혁신을 일으킨다. 이 책은 홀로그램의 기술적 진화와 사회적 과제, 미래 전략을 ...",https://www.yes24.com/product/goods/152834004
AI 리터러시 기초,Ben Jones,한국마케팅교육,2025년 08월,19800,17820,0,12,N/A,"* “나는 AI를 이해하고자 하는 초보자들을 위해 이 책을 썼다” - 저자 Ben Jones* 복잡한 수식과 난해한 설명을 제거하고, AI의 기초 개념만을 명확하게 알려 주는 책* 불평등 문제, 저작권 문제, 보안 문제, 딥페...",https://www.yes24.com/product/goods/152595587
AI와 노벨상,오상훈,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"2024년 노벨 물리학상·화학상 수상으로 인정받은 AI 연구 성과를 다룬다. 신경망과 알파폴드2의 돌파구, 구글 공동 과학자 사례를 통해 AI가 과학 연구의 방법론과 미래를 어떻게 바꾸고 있는지 보여 준다. 인공지능...",https://www.yes24.com/product/goods/152579272
AI와 포스트휴먼,진설아,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"알파고 충격 이후 AI가 인간 존재 의미를 어떻게 바꾸고 있는지 탐구한다. 도구를 넘어선 AI를 ‘포스트휴먼’으로 규정하며, 공존과 실천의 철학을 통해 인간다움의 재정의를 모색한다. 인공지능총서. aiseries.oop...",https://www.yes24.com/product/goods/152579209
챗GPT 실전 활용법,정영주,그린플레이,2025년 07월,15800,15800,0,42,N/A,N/A,https://www.yes24.com/product/goods/152561643
ChatGPT 에이전트 수익화 전략,정영주,그린플레이,2025년 07월,8700,8700,0,42,N/A,"『ChatGPT 에이전트 수익화 전략』은 글쓰기, 강의, 코칭, 콘텐츠 제작 등 자신의 전문성을 바탕으로 에이전트를 활용해 수익을 창출하고, 자동화된 1인 비즈니스를 구축할 수 있도록 도와주는 실전 가이드북이다.",https://www.yes24.com/product/goods/152561374
MidJourney Version Style Guide–Edition V6,"김성자, 오마리",BOOKK(부크크),2025년 08월,15300,15300,0,12,N/A,"MidJourney는 같은 프롬프트를 사용하더라도 버전에 따라 전혀 다른 스타일과 감성을 구현한다. 이 책은 OmaLi’s MidJourney Version Style Guide - Edition V5의 연장선에서 출발하여, 이번에는 V6 버전의 이미지 ...",https://www.yes24.com/product/goods/152559090
AI와 사전,장경식,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"AI와 검색이 지식의 패러다임을 바꾸는 시대, 전통적 사전이 지닌 신뢰와 담론의 가치를 재조명한다. 브리태니커의 역사와 AI의 도전을 통해 지식의 본질을 묻는다. 인공지능총서. aiseries.oopy.io에서 필요한 인공...",https://www.yes24.com/product/goods/152307441
AI 교통 시스템,"박제진, 오주석",커뮤니케이션북스,2025년 08월,12000,12000,0,42,N/A,"자율 주행, 물류 혁신, 도심 항공 교통 등 AI가 교통을 어떻게 바꾸는지 조망한다. 기술적 진보와 함께 개인정보, 일자리, 윤리 문제까지 다루며 미래 교통의 방향을 성찰한다. 인공지능총서. aiseries.oopy.io에서 ...",https://www.yes24.com/product/goods/152307423
"AI, 인간과 가상인간에 대한 질문들",사영준,커뮤니케이션북스,2025년 08월,12000,12000,0,48,N/A,가상인간이 인간과 유사한 사회적 존재로 자리 잡는 과정을 열 가지 질문으로 탐구한다. 감정·정체성·윤리·관계 형성 등 심리와 사회 전반의 변화를 조망하며 공존의 길을 제시한다. 인공지능총서. aiseries.oopy.io...,https://www.yes24.com/product/goods/151761770
AI 서비스 로봇 (큰글자책),"이윤혜, 박철, 박태경, 정옥경, 강준모",커뮤니케이션북스,2025년 08월,25000,25000,0,42,N/A,"AI 서비스 로봇이 의료·교육·유통·관광 등에서 감정 인식과 맞춤형 서비스를 제공하며 고객 경험을 혁신하는 과정을 다룬다. 산업별 사례와 사회적 쟁점, 미래 전망까지 담았다. 개인 투자자를 위한 실전 투자 안내...",https://www.yes24.com/product/goods/151286771
LLM 상담과 심리 치료 (큰글자책),강수정,커뮤니케이션북스,2025년 08월,25000,25000,0,42,N/A,"LLM 기반 AI는 상담과 심리 치료의 지형을 바꾸고 있다. 생성형 AI의 활용 가능성과 윤리적 과제를 균형 있게 분석하며, 상담자가 기술 변화에 주체적으로 대응할 방법을 모색한다. 인공지능총서. aiseries.oopy.io...",https://www.yes24.com/product/goods/150866746
LLM 상담과 심리 치료,강수정,커뮤니케이션북스,2025년 08월,12000,12000,0,54,N/A,"LLM 기반 AI는 상담과 심리 치료의 지형을 바꾸고 있다. 생성형 AI의 활용 가능성과 윤리적 과제를 균형 있게 분석하며, 상담자가 기술 변화에 주체적으로 대응할 방법을 모색한다. 인공지능총서. aiseries.oopy.io...",https://www.yes24.com/product/goods/150866742
AI와 지역 공동체,정용복,커뮤니케이션북스,2025년 08월,12000,12000,0,42,N/A,"AI는 더 이상 국가나 대도시만의 기술이 아니다. 지방 정부와 지역 주민이 AI를 주체적으로 해석하고 활용하는 ‘AI 로컬리즘’의 관점을 제시하며, 지역의 삶과 맥락에 맞춘 기술 수용 전략을 모색한다. 인공지능총...",https://www.yes24.com/product/goods/150866698
AI 시대 인재의 조건,박종필,커뮤니케이션북스,2025년 08월,12000,12000,0,42,N/A,"AI가 정보를 쏟아 내는 시대, 인재의 조건도 달라졌다. 이 책은 질문력·편집력·비판력·PD 능력·기술력·협업력·기본력 등 일곱 가지 인재 전략을 제시하며, 정보 소비자에서 창의적 프로듀서로의 전환을 제안한다. 인...",https://www.yes24.com/product/goods/150850882
AI와 미술관 (큰글자책),이보아,커뮤니케이션북스,2025년 08월,25000,25000,0,42,N/A,"AI는 창작과 큐레이션, 관람까지 미술관의 모든 장면을 바꾸고 있다. 미술관에서 벌어지는 AI의 혁신을 국내외 사례와 함께 살피며 기술과 예술의 공존 가능성을 탐색한다. 인공지능총서. aiseries.oopy.io에서 필요...",https://www.yes24.com/product/goods/149866414
AI 시대의 평등,유지연,커뮤니케이션북스,2025년 07월,12000,12000,0,42,N/A,"AI는 공정성과 효율성을 약속했지만 오히려 기존의 불평등을 강화할 수 있다는 우려가 크다. 《AI 시대의 평등》은 기술에 내재한 편향과 데이터 권력 집중의 문제를 짚고, 포용적이고 정의로운 AI 설계를 위한 새로...",https://www.yes24.com/product/goods/149658765
AI와 외교,김호철,커뮤니케이션북스,2025년 07월,12000,12000,0,54,N/A,"AI는 기술 경쟁을 넘어 외교와 안보의 새로운 핵심으로 부상했다. 미중 패권 경쟁, 자율 무기, 디지털 외교, AI 통상 규범 등 AI가 국제 정치에 던지는 도전과 전략을 분석한다. 인공지능총서. aiseries.oopy.io에서...",https://www.yes24.com/product/goods/149620789
AI와 화장품,"김영삼, 서동만, 조현열",커뮤니케이션북스,2025년 07월,12000,12000,0,42,N/A,"화장품 산업은 AI 기술과 만나며 맞춤형 제품, 고객 분석, 스마트 마케팅 등 전방위 혁신을 맞이하고 있다. AI 도입의 실제 사례와 과제를 짚으며, 뷰티 산업 종사자에게 실용적 전략과 통찰을 제공한다. 인공지능총...",https://www.yes24.com/product/goods/148412696
"AI의 과거, 현재, 미래","김명철, 곽승우",커뮤니케이션북스,2025년 07월,12000,12000,0,42,N/A,"인공지능의 3차 부흥기 역사와 함께 약인공지능, 강인공지능, 슈퍼 AI 등 AI 기술의 발전 단계를 설명하고, 철학적·생물학적 모델을 통해 미래를 전망한다. AI의 본질과 방향을 입체적으로 조명한다. 인공지능총서. ...",https://www.yes24.com/product/goods/148404478
AI와 공무원,윤우제,커뮤니케이션북스,2025년 07월,12000,12000,0,54,N/A,"AI는 이제 공무원의 동료다. AX 시대, 공공 서비스 혁신의 방향과 공무원의 다섯 가지 핵심 역할을 제시한다. 기술을 넘어 윤리와 책임을 설계할 모든 이들을 위한 가이드다.",https://www.yes24.com/product/goods/148192574
AI와 공급망 관리,정성욱,커뮤니케이션북스,2025년 06월,12000,12000,0,54,N/A,"이 책은 AI 기술이 공급망 관리에 어떤 변화를 일으키는지 다양한 사례를 통해 살펴본다. 수요 예측, 협력 업체 선정, 재고 운영, 제품 품질 유지, 빠른 배송, 고객 맞춤 전략, 친환경 경영 등 주요 분야에서 AI가 ...",https://www.yes24.com/product/goods/148121871
